" Número de nacimientos"
"Datos de: Variable=Nacimientos (Total)"
"Variable",,"Nacimientos (Total)",
,,Valor,
Año,Provincia,Sum,
"1980","AVILA",        2223,
,"BURGOS",        4367,
,"LEON",        6697,
,"PALENCIA",        2474,
,"SALAMANCA",        4615,
,"SEGOVIA",        1851,
,"SORIA",        1010,
,"VALLADOLID",        7307,
,"ZAMORA",        2624,

"1981","AVILA",        2017,
,"BURGOS",        4199,
,"LEON",        6460,
,"PALENCIA",        2406,
,"SALAMANCA",        4427,
,"SEGOVIA",        1806,
,"SORIA",         998,
,"VALLADOLID",        6618,
,"ZAMORA",        2377,

"1982","AVILA",        1997,
,"BURGOS",        4022,
,"LEON",        6330,
,"PALENCIA",        2303,
,"SALAMANCA",        4407,
,"SEGOVIA",        1768,
,"SORIA",         992,
,"VALLADOLID",        6347,
,"ZAMORA",        2417,

"1983","AVILA",        1865,
,"BURGOS",        3948,
,"LEON",        6013,
,"PALENCIA",        2184,
,"SALAMANCA",        4224,
,"SEGOVIA",        1682,
,"SORIA",         956,
,"VALLADOLID",        5696,
,"ZAMORA",        2278,

"1984","AVILA",        1910,
,"BURGOS",        3507,
,"LEON",        5962,
,"PALENCIA",        2266,
,"SALAMANCA",        3940,
,"SEGOVIA",        1580,
,"SORIA",         924,
,"VALLADOLID",        5619,
,"ZAMORA",        2176,

"1985","AVILA",        1870,
,"BURGOS",        3507,
,"LEON",        5513,
,"PALENCIA",        2086,
,"SALAMANCA",        3819,
,"SEGOVIA",        1625,
,"SORIA",         930,
,"VALLADOLID",        5152,
,"ZAMORA",        2103,

"1986","AVILA",        1810,
,"BURGOS",        3451,
,"LEON",        5203,
,"PALENCIA",        1973,
,"SALAMANCA",        3625,
,"SEGOVIA",        1430,
,"SORIA",         926,
,"VALLADOLID",        4741,
,"ZAMORA",        1999,

"1987","AVILA",        1729,
,"BURGOS",        3285,
,"LEON",        4813,
,"PALENCIA",        1857,
,"SALAMANCA",        3499,
,"SEGOVIA",        1358,
,"SORIA",         864,
,"VALLADOLID",        4679,
,"ZAMORA",        1978,

"1988","AVILA",        1613,
,"BURGOS",        3308,
,"LEON",        4537,
,"PALENCIA",        1670,
,"SALAMANCA",        3279,
,"SEGOVIA",        1340,
,"SORIA",         808,
,"VALLADOLID",        4426,
,"ZAMORA",        1829,

"1989","AVILA",        1602,
,"BURGOS",        3170,
,"LEON",        4358,
,"PALENCIA",        1643,
,"SALAMANCA",        3158,
